RSSI,Distance,Visibility
-58,2.5,nlos
-57,2.5,nlos
-57,2.5,nlos
-57,2.5,nlos
-57,2.5,nlos
-58,2.5,nlos
-58,2.5,nlos
-57,2.5,nlos
-57,2.5,nlos
-58,2.5,nlos
-58,2.5,nlos
-65,2.5,nlos
-58,2.5,nlos
-55,2.5,nlos
-60,2.5,nlos
-65,2.5,nlos
-68,2.5,nlos
-75,2.5,nlos
-68,2.5,nlos
-71,2.5,nlos
-58,2.5,nlos
-57,2.5,nlos
-58,2.5,nlos
-56,2.5,nlos
-58,2.5,nlos
-58,2.5,nlos
-57,2.5,nlos
-56,2.5,nlos
-55,2.5,nlos
-58,2.5,nlos
-56,2.5,nlos
-56,2.5,nlos
-58,2.5,nlos
-55,2.5,nlos
-58,2.5,nlos
-57,2.5,nlos
-59,2.5,nlos
-56,2.5,nlos
-64,2.5,nlos
-55,2.5,nlos
-58,2.5,nlos
-58,2.5,nlos
-57,2.5,nlos
-56,2.5,nlos
-58,2.5,nlos
-58,2.5,nlos
-58,2.5,nlos
-58,2.5,nlos
-57,2.5,nlos
-57,2.5,nlos
-56,2.5,nlos
-59,2.5,nlos
-57,2.5,nlos
-57,2.5,nlos
-62,2.5,nlos
-87,2.5,nlos
-56,2.5,nlos
-56,2.5,nlos
-56,2.5,nlos
-59,2.5,nlos
-56,2.5,nlos
-58,2.5,nlos
-66,2.5,nlos
-62,2.5,nlos
-73,2.5,nlos
-71,2.5,nlos
-68,2.5,nlos
-54,2.5,nlos
-57,2.5,nlos
-57,2.5,nlos
-56,2.5,nlos
-58,2.5,nlos
-57,2.5,nlos
-58,2.5,nlos
-58,2.5,nlos
-57,2.5,nlos
-55,2.5,nlos
-58,2.5,nlos
-59,2.5,nlos
-56,2.5,nlos
-59,2.5,nlos
-56,2.5,nlos
-59,2.5,nlos
-58,2.5,nlos
-58,2.5,nlos
-58,2.5,nlos
-57,2.5,nlos
-58,2.5,nlos
-59,2.5,nlos
-61,2.5,nlos
-58,2.5,nlos
-56,2.5,nlos
-58,2.5,nlos
-62,2.5,nlos
-58,2.5,nlos
-56,2.5,nlos
-56,2.5,nlos
-57,2.5,nlos
-55,2.5,nlos
-57,2.5,nlos
-56,2.5,nlos
-57,2.5,nlos
-58,2.5,nlos
-56,2.5,nlos
-58,2.5,nlos
-59,2.5,nlos
-59,2.5,nlos
-56,2.5,nlos
-57,2.5,nlos
-60,2.5,nlos
-57,2.5,nlos
-55,2.5,nlos
-58,2.5,nlos
-58,2.5,nlos
-58,2.5,nlos
-57,2.5,nlos
-57,2.5,nlos
-56,2.5,nlos
-56,2.5,nlos
-64,2.5,nlos
-81,2.5,nlos
-68,2.5,nlos
-66,2.5,nlos
-62,2.5,nlos
-67,2.5,nlos
