RSSI,Distance,Visibility
-56,4.0,nlos
-58,4.0,nlos
-60,4.0,nlos
-56,4.0,nlos
-57,4.0,nlos
-55,4.0,nlos
-56,4.0,nlos
-58,4.0,nlos
-56,4.0,nlos
-55,4.0,nlos
-56,4.0,nlos
-59,4.0,nlos
-54,4.0,nlos
-56,4.0,nlos
-56,4.0,nlos
-59,4.0,nlos
-57,4.0,nlos
-55,4.0,nlos
-59,4.0,nlos
-58,4.0,nlos
-55,4.0,nlos
-58,4.0,nlos
-56,4.0,nlos
-55,4.0,nlos
-58,4.0,nlos
-55,4.0,nlos
-56,4.0,nlos
-55,4.0,nlos
-58,4.0,nlos
-56,4.0,nlos
-66,4.0,nlos
-55,4.0,nlos
-67,4.0,nlos
-54,4.0,nlos
-56,4.0,nlos
-66,4.0,nlos
-56,4.0,nlos
-59,4.0,nlos
-62,4.0,nlos
-60,4.0,nlos
-55,4.0,nlos
-58,4.0,nlos
-55,4.0,nlos
-58,4.0,nlos
-64,4.0,nlos
-56,4.0,nlos
-58,4.0,nlos
-58,4.0,nlos
-56,4.0,nlos
-57,4.0,nlos
-53,4.0,nlos
-58,4.0,nlos
-63,4.0,nlos
-56,4.0,nlos
-56,4.0,nlos
-55,4.0,nlos
-56,4.0,nlos
-58,4.0,nlos
-57,4.0,nlos
-59,4.0,nlos
-63,4.0,nlos
-60,4.0,nlos
-63,4.0,nlos
-54,4.0,nlos
-70,4.0,nlos
-57,4.0,nlos
-55,4.0,nlos
-57,4.0,nlos
-55,4.0,nlos
-56,4.0,nlos
-60,4.0,nlos
-55,4.0,nlos
-59,4.0,nlos
-58,4.0,nlos
-63,4.0,nlos
-56,4.0,nlos
-55,4.0,nlos
-55,4.0,nlos
-55,4.0,nlos
-57,4.0,nlos
-70,4.0,nlos
-53,4.0,nlos
-63,4.0,nlos
-69,4.0,nlos
-65,4.0,nlos
-63,4.0,nlos
-54,4.0,nlos
-56,4.0,nlos
-59,4.0,nlos
-55,4.0,nlos
-64,4.0,nlos
-59,4.0,nlos
-59,4.0,nlos
-60,4.0,nlos
-56,4.0,nlos
-56,4.0,nlos
-55,4.0,nlos
-62,4.0,nlos
-65,4.0,nlos
-64,4.0,nlos
-59,4.0,nlos
-56,4.0,nlos
-58,4.0,nlos
-57,4.0,nlos
-55,4.0,nlos
-53,4.0,nlos
-54,4.0,nlos
-55,4.0,nlos
-58,4.0,nlos
-66,4.0,nlos
-61,4.0,nlos
-56,4.0,nlos
-54,4.0,nlos
-63,4.0,nlos
-57,4.0,nlos
-63,4.0,nlos
-57,4.0,nlos
-56,4.0,nlos
-59,4.0,nlos
-67,4.0,nlos
-68,4.0,nlos
-59,4.0,nlos
-55,4.0,nlos
-59,4.0,nlos
-56,4.0,nlos
-59,4.0,nlos
-56,4.0,nlos
-57,4.0,nlos
-57,4.0,nlos
-56,4.0,nlos
-62,4.0,nlos
-57,4.0,nlos
-56,4.0,nlos
-57,4.0,nlos
-62,4.0,nlos
-65,4.0,nlos
-56,4.0,nlos
-62,4.0,nlos
-56,4.0,nlos
-67,4.0,nlos
-58,4.0,nlos
-61,4.0,nlos
-55,4.0,nlos
-56,4.0,nlos
-55,4.0,nlos
-56,4.0,nlos
-56,4.0,nlos
-55,4.0,nlos
-56,4.0,nlos
-62,4.0,nlos
-55,4.0,nlos
-55,4.0,nlos
-63,4.0,nlos
-56,4.0,nlos
-56,4.0,nlos
-58,4.0,nlos
-63,4.0,nlos
-57,4.0,nlos
-55,4.0,nlos
-59,4.0,nlos
-53,4.0,nlos
-58,4.0,nlos
-57,4.0,nlos
-55,4.0,nlos
-56,4.0,nlos
-62,4.0,nlos
-56,4.0,nlos
-61,4.0,nlos
-55,4.0,nlos
-55,4.0,nlos
-62,4.0,nlos
-60,4.0,nlos
-58,4.0,nlos
-58,4.0,nlos
-54,4.0,nlos
-62,4.0,nlos
-56,4.0,nlos
-57,4.0,nlos
-65,4.0,nlos
-56,4.0,nlos
-55,4.0,nlos
-56,4.0,nlos
-64,4.0,nlos
-56,4.0,nlos
-54,4.0,nlos
-62,4.0,nlos
-56,4.0,nlos
-63,4.0,nlos
-58,4.0,nlos
-58,4.0,nlos
-55,4.0,nlos
-55,4.0,nlos
-62,4.0,nlos
-54,4.0,nlos
-56,4.0,nlos
-57,4.0,nlos
-56,4.0,nlos
-57,4.0,nlos
-57,4.0,nlos
-62,4.0,nlos
-63,4.0,nlos
-56,4.0,nlos
-57,4.0,nlos
-63,4.0,nlos
-59,4.0,nlos
-69,4.0,nlos
-62,4.0,nlos
-59,4.0,nlos
-55,4.0,nlos
-56,4.0,nlos
-54,4.0,nlos
-56,4.0,nlos
-57,4.0,nlos
-56,4.0,nlos
-59,4.0,nlos
-64,4.0,nlos
-58,4.0,nlos
-63,4.0,nlos
-64,4.0,nlos
-63,4.0,nlos
-53,4.0,nlos
-58,4.0,nlos
-58,4.0,nlos
-56,4.0,nlos
-58,4.0,nlos
-56,4.0,nlos
-63,4.0,nlos
-61,4.0,nlos
-58,4.0,nlos
-59,4.0,nlos
-57,4.0,nlos
-64,4.0,nlos
-64,4.0,nlos
-67,4.0,nlos
-58,4.0,nlos
-55,4.0,nlos
-59,4.0,nlos
-58,4.0,nlos
-56,4.0,nlos
-61,4.0,nlos
-56,4.0,nlos
-55,4.0,nlos
-57,4.0,nlos
-55,4.0,nlos
-58,4.0,nlos
-68,4.0,nlos
-55,4.0,nlos
-55,4.0,nlos
-58,4.0,nlos
-60,4.0,nlos
-57,4.0,nlos
-62,4.0,nlos
-57,4.0,nlos
-55,4.0,nlos
-56,4.0,nlos
-62,4.0,nlos
-63,4.0,nlos
-57,4.0,nlos
-58,4.0,nlos
-68,4.0,nlos
-55,4.0,nlos
-58,4.0,nlos
-58,4.0,nlos
-58,4.0,nlos
-56,4.0,nlos
-57,4.0,nlos
-56,4.0,nlos
-55,4.0,nlos
-57,4.0,nlos
-62,4.0,nlos
-55,4.0,nlos
-57,4.0,nlos
-61,4.0,nlos
-56,4.0,nlos
-57,4.0,nlos
-60,4.0,nlos
-61,4.0,nlos
-58,4.0,nlos
-61,4.0,nlos
-55,4.0,nlos
-55,4.0,nlos
-57,4.0,nlos
-56,4.0,nlos
